metric,auc_Track A spectral (mean over α),auc_Track B square,available,track_a,track_b,severity_min,severity_max,n_grid,mean_track_b_minus_track_a,median_track_b_minus_track_a,max_abs_track_b_minus_track_a,auc_track_a,auc_track_b,auc_track_b_minus_track_a,sign_flip_p_value_descriptive,note
mean_delta_ser,0.13982624926707504,0.5641758493860475,True,Track A spectral (mean over α),Track B square,0.0,1.0,101,0.43230724492912226,0.0874009636934053,2.4568515360911753,0.1398297896880901,0.5641758493860475,0.42434605969795736,9.999000099990002e-05,"This is a descriptive curve-level sign-flip diagnostic over interpolated severity points. For formal sample-level inference, use paired image-level rows from the same image subset."
mean_delta_cer,0.10054916330202282,0.4599643164692254,True,Track A spectral (mean over α),Track B square,0.0,1.0,101,0.3655858710796038,0.09645170716194532,1.9652333111560372,0.1005487532346058,0.4599643164692253,0.35941556323461954,9.999000099990002e-05,"This is a descriptive curve-level sign-flip diagnostic over interpolated severity points. For formal sample-level inference, use paired image-level rows from the same image subset."
