track,condition_id,epsilon,epsilon_math,epsilon_phys,alpha,n_staffs,n_jobs_total,n_jobs_ok,n_jobs_error,mean_clean_ser,std_clean_ser,mean_clean_cer,std_clean_cer,mean_clean_ser_capped,std_clean_ser_capped,mean_clean_cer_capped,std_clean_cer_capped,mean_ser,std_ser,mean_cer,std_cer,mean_ser_capped,std_ser_capped,mean_cer_capped,std_cer_capped,mean_delta_ser,std_delta_ser,mean_delta_cer,std_delta_cer,mean_delta_ser_capped,std_delta_ser_capped,mean_delta_cer_capped,std_delta_cer_capped,success_rate,avg_queries,mean_job_elapsed_sec,std_job_elapsed_sec,condition_elapsed_sec,elapsed_seconds,jobs_per_min,mean_attack_queries_per_sec,total_queries
B,eps_0,0.0,0.0,,,670,670,670,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4452607767162116,2.0222310315149024,1638.3247203998617,1638.3247203998617,24.537260226524868,1.2874544462043478,670
B,eps_0.1,0.1,0.1,,,670,670,670,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703237604340293,1.4368797521185572,0.14578815189151048,1.259921824357188,0.08108874626492563,0.1987739855387105,0.06690924927630885,0.1856932983776635,0.1703237604340293,1.4368797521185572,0.14578815189151048,1.259921824357188,0.08108874626492563,0.1987739855387105,0.06690924927630885,0.1856932983776635,0.3358208955223881,10.0,14.843044747015025,15.917272381754318,9944.839980500066,9944.839980500066,4.042297319899016,1.2722071987347336,6700
B,eps_0.2,0.2,0.2,,,670,670,670,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25157422915440375,1.4609088847754874,0.2152727578778976,1.3027135855442542,0.12468176298465035,0.23954754524814031,0.1025307785597552,0.22627618093033766,0.25157422915440375,1.4609088847754874,0.2152727578778976,1.3027135855442542,0.12468176298465035,0.23954754524814031,0.1025307785597552,0.22627618093033766,0.46567164179104475,10.0,15.679269464925033,19.14605976657374,10505.110541499773,10505.110541499773,3.826708899558215,1.2722768360561965,6700
B,eps_0.3,0.3,0.3,,,670,670,670,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173465359868713,2.4483384363876373,0.43226683128474425,2.0920509164620595,0.23517263696191376,0.29456871507373744,0.18923049680774315,0.27784080928776494,0.5173465359868713,2.4483384363876373,0.43226683128474425,2.0920509164620595,0.23517263696191376,0.29456871507373744,0.18923049680774315,0.27784080928776494,0.7626865671641792,10.0,16.894321862387983,21.188620359739968,11319.195647799948,11319.195647799948,3.5514891031867144,1.2583821570570795,6700
B,eps_0.4,0.4,0.4,,,670,670,670,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6349177439377702,9.727196340266941,2.0930590496454977,7.308482871438565,0.6350273472318627,0.31486820768233187,0.5195026465052309,0.3452352625177669,2.6349177439377702,9.727196340266941,2.0930590496454977,7.308482871438565,0.6350273472318627,0.31486820768233187,0.5195026465052309,0.3452352625177669,0.9970149253731343,10.0,22.163254607313355,26.96919005057971,14849.380586899948,14849.380586899948,2.707183627272928,1.0826467209902286,6700
