track,condition_id,alpha,epsilon,epsilon_phys,epsilon_math,stage,onnx_mode,target_source,n_images,n_images_attempted,n_images_ok,n_images_failed,n_jobs_total,n_jobs_ok,n_jobs_error,n_staffs,n_staff_pairs,n_staff_pairs_expected,n_staff_pairs_evaluated,n_layout_mismatch_images,layout_success_rate,layout_match_rate,mean_staffs_clean,mean_staffs_noisy,success_rate,condition_elapsed_sec,elapsed_seconds,mean_job_elapsed_sec,std_job_elapsed_sec,jobs_per_min,images_per_second,staffs_per_second,mean_noise_generation_sec,mean_layout_elapsed_sec,mean_recognition_elapsed_sec,mean_noise_weight_white,mean_noise_weight_pink,mean_noise_weight_brown,clean_queries,noisy_queries,total_queries,mean_ser,std_ser,mean_cer,std_cer,mean_ser_capped,std_ser_capped,mean_cer_capped,std_cer_capped,mean_clean_ser,std_clean_ser,mean_clean_cer,std_clean_cer,mean_clean_ser_capped,std_clean_ser_capped,mean_clean_cer_capped,std_clean_cer_capped,mean_delta_ser,std_delta_ser,mean_delta_cer,std_delta_cer,mean_delta_ser_capped,std_delta_ser_capped,mean_delta_cer_capped,std_delta_cer_capped,n
A,alpha=0|epsilon_phys=0,0.0,0.0,0.0,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.0,2.294473999911702,2.294473999911702,0.022944739999117017,0.03348491333979404,2614.9784221703526,43.58297370283921,120.28900741983622,5.071187571999785,0.0,0.0,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0
A,alpha=0|epsilon_phys=0.01,0.0,0.01,0.01,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.35,1392.752333299984,1392.752333299984,13.92752333299984,7.716252040181925,4.308016476830173,0.07180027461383622,0.19816875793418795,5.071187571999785,3.812500378000211,9.416144360001594,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,670,960,0.03225801556983026,0.3604374682414289,0.02393705076132282,0.28278833832911293,0.014659671884530054,0.10033187629976348,0.010903998941908782,0.08646238776218897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225801556983026,0.3604374682414289,0.02393705076132282,0.28278833832911293,0.014659671884530054,0.10033187629976348,0.010903998941908782,0.08646238776218897,276.0
A,alpha=0|epsilon_phys=0.02,0.0,0.02,0.02,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,275,275,670,275,1,1.0,0.99,6.7,6.69,0.48,1370.3675601001462,1370.3675601001462,13.703675601001462,7.47736934595076,4.378387357302533,0.0729731226217089,0.20067608720969946,5.071187571999785,3.5809136969995303,9.370585414999319,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.0597348934634073,0.3858496129700529,0.03426518335576729,0.2873457126689329,0.04207255580106964,0.1719444934647402,0.021184738620646296,0.10039929920124778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597348934634073,0.3858496129700529,0.03426518335576729,0.2873457126689329,0.04207255580106964,0.1719444934647402,0.021184738620646296,0.10039929920124778,275.0
A,alpha=0|epsilon_phys=0.04,0.0,0.04,0.04,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.53,1381.2721837000997,1381.2721837000997,13.812721837000998,7.562323254813648,4.343821638344607,0.07239702730574345,0.1998157953638519,5.071187571999785,3.6193590150001627,9.417243208999388,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,670,960,0.03215848380110496,0.358429058118689,0.023129422546352994,0.2812947065878544,0.014560140115804752,0.09283966504055899,0.01009637072693896,0.081315191915117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03215848380110496,0.358429058118689,0.023129422546352994,0.2812947065878544,0.014560140115804752,0.09283966504055899,0.01009637072693896,0.081315191915117,276.0
A,alpha=0|epsilon_phys=0.08,0.0,0.08,0.08,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,1,1.0,0.99,6.7,6.69,0.66,1400.024511899947,1400.024511899947,14.00024511899947,7.791219262934718,4.285639250599629,0.07142732084332715,0.19713940552758294,5.071187571999785,3.6498999840004056,9.569371126998682,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.22053195439469012,2.281069472792869,0.1614736495377717,1.7398856775577902,0.06273400319840138,0.21846179827268725,0.04659076280889135,0.1821894778897803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22053195439469012,2.281069472792869,0.1614736495377717,1.7398856775577902,0.06273400319840138,0.21846179827268725,0.04659076280889135,0.1821894778897803,276.0
A,alpha=0|epsilon_phys=0.16,0.0,0.16,0.16,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,99,100,99,1,100,99,1,276,276,665,276,1,1.0,0.98989898989899,6.717171717171717,6.707070707070707,0.7272727272727273,1379.6458168999998,1379.6458168999998,13.878853940404037,7.702102946292468,4.305452839589588,0.07175754732649313,0.2000513440617384,5.036629565656349,3.7437693000001433,9.320113152524565,0.8792436426315712,0.12075607998565259,2.7738277621997485e-07,290,664,954,0.1111273175301954,0.5844603658446763,0.0799853378714285,0.47870298599571226,0.0594607196713224,0.21108681540239202,0.04491421874049989,0.18066903734329887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111273175301954,0.5844603658446763,0.0799853378714285,0.47870298599571226,0.0594607196713224,0.21108681540239202,0.04491421874049989,0.18066903734329887,276.0
A,alpha=0|epsilon_phys=0.32,0.0,0.32,0.32,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,1,1.0,0.99,6.7,6.69,0.73,1397.8748760000626,1397.8748760000626,13.978748760000625,7.703991066311905,4.292229657327163,0.07153716095545272,0.20388090872304027,5.088463781999779,3.734222495999568,9.415259741001098,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.057559334801062886,0.3868010935555825,0.03920897070929491,0.2958681498599948,0.034983664856971894,0.13721535574906066,0.025266457284513672,0.12105168612505507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057559334801062886,0.3868010935555825,0.03920897070929491,0.2958681498599948,0.034983664856971894,0.13721535574906066,0.025266457284513672,0.12105168612505507,285.0
A,alpha=0|epsilon_phys=0.4,0.0,0.4,0.4,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,1,1.0,0.99,6.7,6.69,0.74,1422.6236680998763,1422.6236680998763,14.226236680998763,8.037673891663362,4.217559523674932,0.07029265872791554,0.2003340773745593,5.088463781999779,3.787464459999908,9.6093596699989,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.22013275310914904,2.246698440560599,0.16076598818979257,1.712918340312011,0.06397781413687259,0.2102266999863098,0.048543049929145654,0.18105271908680232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22013275310914904,2.246698440560599,0.16076598818979257,1.712918340312011,0.06397781413687259,0.2102266999863098,0.048543049929145654,0.18105271908680232,285.0
A,alpha=1|epsilon_phys=0,1.0,0.0,0.0,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.0,2.3345561998966105,2.3345561998966105,0.023345561998966105,0.03294152022426219,2570.0816284764187,42.83469380794031,122.07887735262989,5.181222315999715,0.0,0.0,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
A,alpha=1|epsilon_phys=0.01,1.0,0.01,0.01,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.39,1393.6992625000055,1393.6992625000055,13.936992625000055,8.14921330209205,4.305089456126462,0.07175149093544103,0.20449174916600696,5.181222315999715,3.830782083999858,9.437235748000267,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,670,960,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,285.0
