epsilon,before_overall_accuracy,after_overall_accuracy,before_mean_ser,after_mean_ser
0.0,0.5522478070175438,0.5493055555555556,0.4276681286549708,0.42105263157894735
0.01,0.5281432748538012,0.5466557017543859,0.44914108187134505,0.4234283625730994
0.02,0.4903326023391813,0.5426535087719299,0.48987573099415205,0.4262609649122807
0.05,0.4108918128654971,0.5325109649122807,0.5756030701754385,0.43411915204678364
0.1,0.4031980994152047,0.5243238304093567,0.5822733918128655,0.44071637426900584
