epsilon,before_count_accuracy,after_count_accuracy,before_token_accuracy,after_token_accuracy,before_mean_ser,after_mean_ser
0.0,0.5416666865348816,0.625,0.5701500394840747,0.58236377994209,0.42090023690444855,0.4015267175572519
0.01,0.125,0.5833333730697632,0.568254803895762,0.5818899710450118,0.4225322453277178,0.40178994472229534
0.02,0.0,0.2916666865348816,0.5622005790997631,0.5811529349828902,0.42890234272176886,0.4034745985785733
0.05,0.0,0.0416666679084301,0.5318768096867597,0.5746775467228218,0.4542247959989471,0.40816004211634643
0.1,0.0,0.0,0.5266649118188997,0.5503553566728087,0.45506712292708607,0.4262174256383259
