branch,before_accuracy,after_accuracy,before_ser,after_ser
articulation,0.6460160818713451,0.6723318713450293,0.3412828947368421,0.26726973684210525
lift,0.42680921052631576,0.5569261695906432,0.5521747076023392,0.390625
pitch,0.24926900584795322,0.3230994152046784,0.7342836257309941,0.6715095029239766
position,0.5292397660818714,0.6477521929824561,0.4559576023391813,0.32108918128654973
rhythm,0.164656432748538,0.4215095029239766,0.8276681286549707,0.5530884502923976
